"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	40	0	"ROOT"
"2"	2	2	40	0	"ROOT"
"3"	3	3	40	0	"ROOT"
"4"	4	4	40	0	"ROOT"
"5"	5	5	40	0	"ROOT"
"6"	6	6	40	0	"ROOT"
"7"	7	7	40	0	"ROOT"
"8"	8	8	40	0	"ROOT"
"9"	9	9	40	0	"ROOT"
"10"	10	10	40	0	"ROOT"
"11"	8	11	35	0	"Genetic"
"12"	2	12	30	0	"Genetic"
"13"	2	13	27	0	"Genetic"
"14"	10	14	26	0	"Genetic"
"15"	13	15	26	0	"Genetic"
"16"	10	16	25	0	"Genetic"
"17"	12	17	23	0	"Genetic"
"18"	12	18	23	21	"Genetic"
"19"	12	19	23	0	"Genetic"
"20"	13	20	23	0	"Genetic"
"21"	13	21	23	21	"Genetic"
"22"	12	22	22	22	"Genetic"
"23"	13	23	22	0	"Genetic"
"24"	10	24	20	0	"Genetic"
"25"	1	25	16	0	"Genetic"
"26"	9	26	16	0	"Genetic"
"27"	12	27	16	0	"Genetic"
"28"	3	28	15	0	"Genetic"
"29"	6	29	15	0	"Genetic"
"30"	1	30	14	0	"Genetic"
"31"	4	31	14	0	"Genetic"
"32"	4	32	14	0	"Genetic"
"33"	12	33	13	0	"Genetic"
"34"	25	34	13	0	"Genetic"
"35"	4	35	12	0	"Genetic"
"36"	4	36	12	0	"Genetic"
"37"	13	37	12	0	"Genetic"
"38"	24	38	12	0	"Genetic"
"39"	27	39	12	0	"Genetic"
"40"	14	40	11	0	"Genetic"
"41"	16	41	11	0	"Genetic"
"42"	17	42	11	0	"Genetic"
"43"	1	43	10	0	"Genetic"
"44"	2	44	10	0	"Genetic"
"45"	17	45	10	0	"Genetic"
"46"	10	46	9	0	"Genetic"
"47"	20	47	9	0	"Genetic"
"48"	33	48	9	0	"Genetic"
"49"	33	49	9	2	"Genetic"
"50"	41	50	9	0	"Genetic"
"51"	19	51	8	0	"Genetic"
"52"	19	52	8	0	"Genetic"
"53"	20	53	8	0	"Genetic"
"54"	25	54	8	0	"Genetic"
"55"	3	55	7	0	"Genetic"
"56"	25	56	7	0	"Genetic"
"57"	39	57	7	0	"Genetic"
"58"	42	58	7	6	"Genetic"
"59"	43	59	7	0	"Genetic"
"60"	44	60	6	6	"Genetic"
"61"	52	61	6	6	"Genetic"
"62"	13	62	5	0	"Genetic"
"63"	23	63	5	0	"Genetic"
"64"	49	64	5	0	"Genetic"
"65"	2	65	4	0	"Genetic"
"66"	20	66	4	0	"Genetic"
"67"	51	67	4	0	"Genetic"
"68"	6	68	3	0	"Genetic"
"69"	19	69	3	0	"Genetic"
"70"	48	70	2	0	"Genetic"
"71"	57	71	2	0	"Genetic"
"72"	17	72	1	0	"Genetic"
"73"	49	73	1	0	"Genetic"
"74"	53	74	1	0	"Genetic"
"75"	53	75	1	0	"Genetic"
"76"	64	76	1	0	"Genetic"
"77"	64	77	1	0	"Genetic"
"78"	71	78	1	0	"Genetic"
"79"	5	79	0	0	"Genetic"
"80"	12	80	0	0	"Genetic"
"81"	19	81	0	0	"Genetic"
"82"	33	82	0	0	"Genetic"
"83"	53	83	0	0	"Genetic"
