"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	40	0	"ROOT"
"2"	2	2	40	0	"ROOT"
"3"	3	3	40	0	"ROOT"
"4"	4	4	40	0	"ROOT"
"5"	5	5	40	0	"ROOT"
"6"	6	6	40	0	"ROOT"
"7"	7	7	40	0	"ROOT"
"8"	8	8	40	0	"ROOT"
"9"	9	9	40	0	"ROOT"
"10"	10	10	40	0	"ROOT"
"11"	2	11	36	0	"Genetic"
"12"	2	12	31	0	"Genetic"
"13"	2	13	27	0	"Genetic"
"14"	4	14	25	0	"Genetic"
"15"	11	15	25	21	"Genetic"
"16"	13	16	24	0	"Genetic"
"17"	13	17	24	21	"Genetic"
"18"	13	18	24	21	"Genetic"
"19"	2	19	23	0	"Genetic"
"20"	5	20	22	0	"Genetic"
"21"	14	21	22	0	"Genetic"
"22"	11	22	21	21	"Genetic"
"23"	15	23	21	21	"Genetic"
"24"	19	24	21	0	"Genetic"
"25"	8	25	19	0	"Genetic"
"26"	8	26	18	0	"Genetic"
"27"	12	27	17	6	"Genetic"
"28"	7	28	15	15	"Genetic"
"29"	21	29	15	0	"Genetic"
"30"	10	30	14	0	"Genetic"
"31"	16	31	14	0	"Genetic"
"32"	21	32	14	0	"Genetic"
"33"	9	33	13	0	"Genetic"
"34"	11	34	13	0	"Genetic"
"35"	16	35	13	0	"Genetic"
"36"	21	36	13	0	"Genetic"
"37"	21	37	13	0	"Genetic"
"38"	6	38	12	0	"Genetic"
"39"	8	39	12	0	"Genetic"
"40"	3	40	11	0	"Genetic"
"41"	19	41	11	0	"Genetic"
"42"	27	42	11	0	"Genetic"
"43"	9	43	10	0	"Genetic"
"44"	41	44	10	0	"Genetic"
"45"	8	45	9	0	"Genetic"
"46"	12	46	9	0	"Genetic"
"47"	12	47	9	0	"Genetic"
"48"	12	48	9	0	"Genetic"
"49"	31	49	9	0	"Genetic"
"50"	48	50	8	0	"Genetic"
"51"	11	51	7	0	"Genetic"
"52"	27	52	6	0	"Genetic"
"53"	41	53	6	0	"Genetic"
"54"	46	54	5	0	"Genetic"
"55"	52	55	5	0	"Genetic"
"56"	55	56	4	0	"Genetic"
"57"	55	57	4	0	"Genetic"
"58"	47	58	2	0	"Genetic"
"59"	52	59	1	0	"Genetic"
"60"	52	60	1	0	"Genetic"
"61"	56	61	1	0	"Genetic"
"62"	59	62	0	0	"Genetic"
